date_id,date,pre_covid,n_count,t_count,d_count,is_high
83,2020-12-6,1,48,106,106,1
83,2020-12-6,1,0,0,106,0
84,2020-12-19,1,36,72,72,1
84,2020-12-19,1,0,0,72,0
85,2021-2-7,1,43,103,103,1
85,2021-2-7,1,0,0,103,0
86,2021-2-17,1,54,97,160,1
86,2021-2-17,1,40,63,160,0
87,2021-3-22,1,46,95,128,1
87,2021-3-22,1,21,33,128,0
88,2021-4-26,1,48,92,115,1
88,2021-4-26,1,16,23,115,0
89,2021-5-26,1,47,97,159,1
89,2021-5-26,1,44,62,159,0
90,2021-6-4,1,52,97,149,1
90,2021-6-4,1,34,52,149,0
91,2021-7-9,1,39,95,146,1
91,2021-7-9,1,31,51,146,0
92,2021-9-4,1,42,74,74,1
92,2021-9-4,1,0,0,74,0
93,2021-9-5,1,39,77,77,1
93,2021-9-5,1,0,0,77,0
94,2021-9-7,1,47,92,114,1
94,2021-9-7,1,13,22,114,0
95,2021-9-18,1,40,73,73,1
95,2021-9-18,1,0,0,73,0
96,2021-10-10,1,45,106,106,1
96,2021-10-10,1,0,0,106,0
97,2021-11-5,1,49,98,144,1
97,2021-11-5,1,26,46,144,0
98,2021-11-16,1,50,97,140,1
98,2021-11-16,1,26,43,140,0
99,2021-12-20,1,52,94,110,1
99,2021-12-20,1,9,16,110,0
